location,start,end,age,activity,tagID
Inside,2017-06-21 12:41:17.050,2017-06-21 15:07:46.200,0,inside,1230
Outside-Unknown,2017-06-21 15:07:46.200,2017-06-21 15:08:35.250,0,undefined,1230
Outside,2017-06-21 15:08:35.250,2017-06-21 15:08:50.300,0,outside-short,1230
Inside,2017-06-21 15:08:50.300,2017-06-21 15:09:20.550,0,inside,1230
Outside-Unknown,2017-06-21 15:09:20.550,2017-06-21 15:10:01.500,0,undefined,1230
Outside-Unknown,2017-06-21 15:10:01.500,2017-06-21 15:10:45.850,0,undefined,1230
Outside,2017-06-21 15:10:45.850,2017-06-21 15:13:37.100,0,outside-short,1230
Unknown-Inside,2017-06-21 15:13:37.100,2017-06-21 17:08:01.850,0,undefined,1230
Unknown-Inside,2017-06-21 17:08:01.850,2017-06-22 08:46:13.050,0,undefined,1230
Unknown-Inside,2017-06-22 08:46:13.050,2017-06-22 09:33:01.350,0,undefined,1230
Inside,2017-06-22 09:33:01.350,2017-06-22 09:54:23.850,1,inside,1230
Outside,2017-06-22 09:54:23.850,2017-06-22 10:07:28.850,1,outside-foraging,1230
Inside,2017-06-22 10:07:28.850,2017-06-22 15:41:19.950,1,inside,1230
Outside,2017-06-22 15:41:19.950,2017-06-22 15:44:43.150,1,outside-short,1230
Unknown-Inside,2017-06-22 15:44:43.150,2017-06-22 17:39:00.450,1,undefined,1230
Inside,2017-06-22 17:39:00.450,2017-06-22 17:41:15.150,1,inside,1230
Outside-Unknown,2017-06-22 17:41:15.150,2017-06-23 08:40:58.900,1,undefined,1230
Outside,2017-06-23 08:40:58.900,2017-06-23 10:03:49.250,1,outside-foraging,1230
Inside,2017-06-23 10:03:49.250,2017-06-23 10:39:05.250,2,inside,1230
Outside,2017-06-23 10:39:05.250,2017-06-23 10:39:19.550,2,outside-short,1230
Inside,2017-06-23 10:39:19.550,2017-06-23 10:40:48.800,2,inside,1230
Outside,2017-06-23 10:40:48.800,2017-06-23 10:41:35.150,2,outside-short,1230
Inside,2017-06-23 10:41:35.150,2017-06-23 10:42:18.650,2,inside,1230
Outside-Unknown,2017-06-23 10:42:18.650,2017-06-23 10:42:29.250,2,undefined,1230
Outside,2017-06-23 10:42:29.250,2017-06-23 10:42:41.650,2,outside-short,1230
Unknown-Inside,2017-06-23 10:42:41.650,2017-06-23 10:43:21.650,2,undefined,1230
Inside,2017-06-23 10:43:21.650,2017-06-23 10:43:51.300,2,inside,1230
Outside,2017-06-23 10:43:51.300,2017-06-23 10:44:59.750,2,outside-short,1230
Inside,2017-06-23 10:44:59.750,2017-06-23 10:45:31.550,2,inside,1230
Outside,2017-06-23 10:45:31.550,2017-06-23 10:45:56.050,2,outside-short,1230
Unknown-Inside,2017-06-23 10:45:56.050,2017-06-23 10:46:15.250,2,undefined,1230
Unknown-Inside,2017-06-23 10:46:15.250,2017-06-23 10:46:47.150,2,undefined,1230
Inside,2017-06-23 10:46:47.150,2017-06-23 13:21:06.200,2,inside,1230
Outside-Unknown,2017-06-23 13:21:06.200,2017-06-23 13:21:21.700,2,undefined,1230
Outside,2017-06-23 13:21:21.700,2017-06-23 13:21:38.650,2,outside-short,1230
Unknown-Inside,2017-06-23 13:21:38.650,2017-06-23 13:22:04.150,2,undefined,1230
Inside,2017-06-23 13:22:04.150,2017-06-23 13:23:17.050,2,inside,1230
Outside,2017-06-23 13:23:17.050,2017-06-23 13:24:26.650,2,outside-short,1230
Unknown-Inside,2017-06-23 13:24:26.650,2017-06-23 13:25:07.250,2,undefined,1230
Inside,2017-06-23 13:25:07.250,2017-06-23 13:26:15.550,2,inside,1230
Outside,2017-06-23 13:26:15.550,2017-06-23 13:26:31.500,2,outside-short,1230
